$ TO PLACE	 放入几率
$NEW	新冒险
$New content available	有新的内容！
$Next/Prev	上一页/下一页
$Nirnroots Found	奈恩根寻得数
$No	否
$No content downloaded	未下载任何内容
$No content downloaded_PS3	未下载任何内容
$Normal	老手
$Object Fade	物件淡出
$Object LOD Fade	物件远景淡出
$OBJECTIVES	目标
$OK	确定
$Open Xbox LIVE Marketplace?	开启 Xbox LIVE 游戏卖场?
$Pause	系统选项
$People Killed	杀人数
$per sec	每秒
$Perks to increase:	额外能力点数：
$Persuasions	说服次数
$Player Gold	金币
$Pockets Picked	成功扒窃次数
$Poisons Mixed	毒药调和次数
$Poisons Used	毒药使用次数
$Potions Mixed	药水调和次数
$Potions Used	药水使用次数
$Power	特殊能力  
$Press a button to map to this action.	按下按钮以指定动作。
$Press [START]	PRESS START
$QUEST	任务
$Questlines Completed	任务线完成数
$QUESTS	任务
$Quests Completed	任务完成数
$Quick Inventory	物品栏
$Quick Magic	魔法栏
$Quick Map	地图
$Quick Stats	能力界面
$Quickload	快速读取
$Quicksave	快速保存
$QUIT	离开游戏
$Quit to desktop?  Any unsaved progress will be lost.	退出到桌面？所有未保存的存档将会丢失。
$Quit to main menu?  Any unsaved progress will be lost.	确定要离开游戏返回主菜单？所有未保存存档将会丢失。
$RACE	种族
$Read	阅读
$Ready Weapon	武器收拔
$RECHARGE	再次充能
$Reset settings to default values?	确定要恢复默认值吗？
$Rest how long?	想要休息多久？
$Right Attack/Block	右手
$Rotate Lock	旋转锁
$Rotate Pick	调整开锁器
$Run	行走
$SAVE	保存
$Save on Pause	菜单自动存档
$Save on Rest	睡眠自动存档
$Save on Travel	旅行自动存档
$Save on Wait	等待自动存档
$Save over this game?	确定要覆盖这个存档吗？
$Saving content. Please don't turn off your console.	存档保存中，请勿关闭主机电源。
$Saving...	保存中……
$sec	秒
$secs	秒
$Select	选择
$Select items to craft	选择想要制作的道具
$Sell	卖出
$Set Destination	设定目的地
$SETTINGS	选项
$Shadow Fade	阴影淡出
$Shout	龙吼/特殊能力
$Shouts Learned	习得龙吼数
$Shouts Mastered	精通龙吼数
$Shouts Unlocked	解锁龙吼数
$Show Floating Markers	浮动标记
$Show on Map	于地图标示
$Side Quests Completed	支线任务完成数
$Skill Books Read	技能书阅读数
$Skill Increases	技能提升次数
$SKILLS	技能
$Small	小
$Sneak	潜行
$Sneak Attacks	潜行攻击次数
$Soul Gems Used	灵魂石使用数
$Souls Trapped	受困灵魂数量
$Specularity Fade	反射淡出
$Spells Learned	已习得法术
$Sprint	冲刺
$Stamina	体力
$STAMINA	体力
$Standing Stones Found	立石发现数
$Steal	偷窃
$Stolen	赃物
$Store	存放
$Stores Invested In	投资的店铺数量
$Strafe Left	左移
$Strafe Right	右移
$SYSTEM	系统
$Take	拿取
$Take All	全部拿取
$TAKE GIFT	选取礼物
$Texture Size	材质尺寸
$That button is reserved.	这个按钮已分配。
$The Companions Quests Completed	战友团任务完成数
$The Dark Brotherhood Quests Completed	黑暗兄弟会任务完成数
$The Pale Bounty	苍原悬赏金
$The Reach Bounty	边塞悬赏金
$The Rift Bounty	裂谷悬赏金
$Thieves' Guild Quests Completed	盗贼公会任务完成数
$Times Jailed	坐牢次数
$Times Married	结婚次数
$Times Shouted	龙吼次数
$Times Trained This Level	在这个等级受训次数
$Toggle Active	设为进行中
$Toggle Always Run	行走模式
$Toggle POV	视角
$TooFast	Too Fast
$TooLoud	Too Loud
$TooNoisy	Too Noisy
$TooQuiet	Too Quiet
$TooSlow	Too Slow
$Total Lifetime Bounty	生涯悬赏金总计
$Train	训练
$Trainer	训练师
$Training Sessions	训练过程
$Tree LOD Fade	树木细节等级淡出
$Trespasses	非法入侵次数
$Tribal Orcs Bounty	兽人部落悬赏金
$TryAgain	再试一次
$Turn Pages	翻页
$Tween Menu	角色菜单
$Undead Killed	不死生物击杀数
$Unfavorite	解除偏好分类
$UNKNOWN	不明
$Unlock	解锁
$Use	使用
$Use Kinect Commands	使用 Kinect 命令
$VALUE	价值
$Vampirism Cures	吸血鬼病治愈次数
$Vendor Gold	商人金币
$Very Easy	新手
$Very Hard	大师
$Vibration	震动
$Voice	语音
$Wait	原地等待
$Wait how long?	想要等待多久？
$Weapons Disarmed	缴械武器次数
$Weapons Improved	升级武器次数
$Weapons Made	武器制造数
$WEIGHT	重量
$Werewolf Transformations	变身狼人次数
$Whiterun Bounty	白漫城悬赏金
$Wings Plucked	摘下的翅膀数
$Winterhold Bounty	冬堡悬赏金
$Words Of Power Learned	力量之语习得数
$Words Of Power Unlocked	力量之语解锁数
$World Map	世界地图
$Yes	是
$You leveled up!  Choose an attribute to advance:	你升级了！选择一个想提升的属性：
$Zoom	缩放
$[NEW SAVE]	[NEW SAVE]
